Language,Checkpoint #,Instructions Delta,Virtual Time Delta us,NVM Writes,Est Energy uJ
Rust,89,5896,2628699.9,8,8.51235
Rust,90,50181,50000.0,8,72.448819
Rust,91,5896,2704199.9,8,8.51235
Rust,92,50181,50000.0,8,72.448819
Rust,93,5896,2780099.9,8,8.51235
Rust,94,50181,50000.0,8,72.448819
Rust,95,5896,2856099.9,8,8.51235
Rust,96,50181,50000.0,8,72.448819
Rust,97,5896,2933899.9,8,8.51235
Rust,98,50181,50000.0,8,72.448819
Rust,99,5896,3012099.9,8,8.51235
Rust,100,50181,50000.0,8,72.448819
Rust,101,5896,3091299.9,8,8.51235
Rust,102,50181,50000.0,8,72.448819
Rust,103,5896,3173899.9,8,8.51235
Rust,104,50181,50000.0,8,72.448819
Rust,105,5896,3256599.9,8,8.51235
Rust,106,50181,50000.0,8,72.448819
Rust,107,5896,3339499.9,8,8.51235
Rust,108,50181,50000.0,8,72.448819
Rust,109,5896,3424499.9,8,8.51235
Rust,110,50181,50000.0,8,72.448819
Rust,111,5896,3509999.9,8,8.51235
Rust,112,50181,50000.0,8,72.448819
Rust,113,5896,3596799.9,8,8.51235
Rust,114,50181,50000.0,8,72.448819
Rust,115,5896,3684399.9,8,8.51235
Rust,116,50181,50000.0,8,72.448819
Rust,117,5896,3772699.9,8,8.51235
Rust,118,50181,50000.0,8,72.448819
Rust,119,5896,3861499.9,8,8.51235
Rust,120,50181,50000.0,8,72.448819
Rust,121,5896,3950599.9,8,8.51235
Rust,122,50181,50000.0,8,72.448819
Rust,123,5896,4041299.9,8,8.51235
Rust,124,50181,50000.0,8,72.448819
Rust,125,5896,4132699.9,8,8.51235
Rust,126,50181,50000.0,8,72.448819
Rust,127,5896,4227499.9,8,8.51235
Rust,128,50181,50000.0,8,72.448819
Rust,129,5896,4322999.9,8,8.51235
Rust,130,50181,50000.0,8,72.448819
Rust,131,5896,4419499.9,8,8.51235
Rust,132,50181,50000.0,8,72.448819
Rust,133,5896,4517399.9,8,8.51235
Rust,134,50181,50000.0,8,72.448819
Rust,135,5896,4615799.9,8,8.51235
Rust,136,50181,50000.0,8,72.448819
Rust,137,5896,4714499.9,8,8.51235
Rust,138,50181,50000.0,8,72.448819
Rust,139,5896,4813599.8,8,8.51235
Rust,140,50181,50000.0,8,72.448819
Rust,141,50181,50000.0,8,72.448819
Rust,142,50181,50000.0,8,72.448819
Rust,143,50181,50000.0,8,72.448819
Rust,144,50181,50000.0,8,72.448819
Rust,145,50181,50000.0,8,72.448819
Rust,146,50181,50000.0,8,72.448819
Rust,147,50181,50000.0,8,72.448819
Rust,148,50181,50000.0,8,72.448819
